Path,Spoken
C:\Users\douglas.gaskell,user
C:\Users\douglas.gaskell,profile
C:\Users\douglas.gaskell\Desktop,desktop
C:\Users\douglas.gaskell\Desktop,desk
C:\Users\douglas.gaskell\Documents,documents
C:\Users\douglas.gaskell\Documents,docks
C:\Users\douglas.gaskell\Downloads,downloads
C:\Users\douglas.gaskell\Music,music
C:\Users\douglas.gaskell\Pictures,pictures
C:\Users\douglas.gaskell\Videos,videos
C:\Users\douglas.gaskell\AppData\Roaming\talon,talon home
C:\Users\douglas.gaskell\AppData\Roaming\talon\user,talon user
